42006,348.806,52.69
42013,354.195,48.36
42020,364.266,48.69
42027,373.14,45.59
42034,379.473,48.24
42041,383.8,51.69
42048,391.516,52.78
42055,399.943,50.34
42062,410.246,49.76
42069,415.425,49.61
42076,425.047,44.84
42083,433.217,45.72
42090,437.983,48.87
42097,449.662,49.14
42104,450.956,51.64
42111,456.271,55.74
42118,458.181,57.15
42125,454.079,59.15
42132,451.888,59.39
42139,449.214,59.69
42146,446.412,59.72
42153,444.464,60.3
42160,438.447,59.13
42167,435.771,59.96
42174,430.837,59.61
42181,433.223,59.63
42188,433.714,56.93
42195,429.368,52.74
42202,431.836,50.89
42209,427.633,48.14
42216,423.226,47.12
42223,421.822,43.87
42230,424.442,42.5
42237,418.99,40.45
42244,423.657,45.22
42251,426.062,46.05
42258,423.958,44.63
42265,422.033,44.68
42272,425.988,45.7
42279,429.028,45.54
42286,436.59,49.63
42293,444.618,47.26
42300,447.994,44.6
42307,450.841,46.59
42314,454.822,44.29
42321,455.074,40.74
42328,456.035,40.39
42335,457.212,41.71
42342,453.553,39.97
42349,458.354,35.62
42356,452.477,34.73
42363,455.106,38.1
42370,450.956,37.04
42377,451.19,33.16
42384,455.169,29.42
42391,463.552,32.19
42398,471.344,33.62
42405,470.676,30.89
42412,472.823,29.44
42419,476.325,29.64
42426,486.699,32.78
42433,490.843,35.92
42440,492.16,38.5
42447,501.517,39.44
42454,503.816,39.46
42461,498.598,36.79
42468,505.232,39.72
42475,507.312,40.36
42482,509.311,43.73
42489,512.095,45.92
42496,508.487,44.66
42503,509.797,46.21
42510,505.571,47.75
42517,504.205,49.33
42524,501.844,48.62
42531,500.911,49.07
42538,499.994,47.98
42545,495.941,47.64
42552,493.718,48.99
42559,491.172,45.41
42566,488.83,45.95
42573,490.501,44.19
42580,491.914,41.6
42587,492.969,41.8
42594,490.461,44.49
42601,492.962,48.52
42608,495.238,47.64
42615,480.725,44.44
42622,480.166,45.88
42629,473.966,43.03
42636,472.084,44.48
42643,469.108,48.24
42650,473.958,49.81
42657,468.711,50.35
42664,468.158,50.85
42671,482.578,48.7
42678,485.01,44.07
42685,490.284,43.41
42692,489.029,45.69
42699,488.145,46.06
42706,485.756,51.68
42713,483.193,51.5
42720,485.449,51.9
42727,486.063,53.02
42734,479.012,53.72
42741,483.109,53.99
42748,485.456,52.37
42755,488.296,52.42
42762,494.762,53.17
42769,508.592,53.83
42776,518.119,53.86
42783,518.683,53.4
42790,520.184,53.99
42797,528.393,53.33
42804,528.156,48.49
42811,533.11,48.78
42818,533.977,47.97
42825,535.543,50.6
42832,533.377,52.24
42839,532.343,53.18
42846,528.702,49.62
42853,527.772,49.33
42860,522.525,46.22
42867,520.772,47.84
42874,516.34,50.33
42881,509.912,49.8
42888,513.207,47.66
42895,511.546,45.83
42902,509.095,44.74
42909,509.213,43.01
42916,502.914,46.04
42923,495.35,44.23
42930,490.623,46.54
42937,483.415,45.77
42944,481.888,49.71
42951,475.437,49.58
42958,466.492,48.82
42965,463.165,48.51
42972,457.773,47.87
42979,462.353,47.29
42986,468.241,47.48
42993,472.832,49.89
43000,470.986,50.66
43007,464.963,51.67
43014,462.216,49.29
43021,456.485,51.45
43028,457.341,51.47
43035,454.906,53.9
43042,457.143,55.64
43049,458.997,56.74
43056,457.142,56.55
43063,453.713,58.95
43070,448.103,58.36
43077,442.986,57.36
43084,436.491,57.3
43091,431.882,58.47
43098,424.463,60.42
43105,419.515,61.44
43112,412.654,64.3
43119,411.583,63.37
43126,418.359,66.14
43133,420.254,65.45
43140,422.095,59.2
43147,420.479,61.68
43154,423.498,63.55
43161,425.906,61.25
43168,430.928,62.04
43175,428.306,62.34
43182,429.949,65.88
43189,425.332,64.94
43196,428.638,62.06
43203,427.567,67.39
43210,429.737,68.38
43217,435.955,68.1
43224,433.758,69.72
43231,432.354,70.7
43238,438.132,71.28
43245,434.512,67.88
43252,436.584,65.81
43259,432.441,65.74
43266,426.527,65.06
43273,416.636,68.58
43280,417.881,74.15
43287,405.248,73.8
43294,411.084,71.01
43301,404.937,70.46
43308,408.74,68.69
43315,407.389,68.49
43322,414.194,67.63
43329,408.358,65.91
43336,405.792,68.72
43343,401.49,69.8
43350,396.194,67.75
43357,394.137,68.99
43364,395.989,70.78
43371,403.964,73.25
43378,409.951,74.34
43385,416.441,71.34
43392,422.787,69.12
43399,426.004,67.59
43406,431.787,63.14
43413,442.057,60.19
43420,446.908,56.46
43427,450.485,50.42
43434,443.162,50.93
43441,441.954,52.61
43448,441.457,51.2
43455,441.411,45.59
43462,441.418,45.33
43469,439.738,47.96
43476,437.055,51.59
43483,445.025,53.8
43490,445.944,53.69
43497,447.207,55.26
43504,450.84,52.72
43511,454.512,55.59
43518,445.865,57.26
43525,452.934,55.8
43532,449.072,56.07
43539,439.483,58.52
43546,442.283,59.04
43553,449.521,60.14
43560,456.55,63.08
43567,455.154,63.89
43574,460.633,64
43581,470.567,63.3
43588,466.604,61.94
43595,472.035,61.66
43602,476.775,62.76
43609,476.493,58.63
43616,483.264,53.5
43623,485.47,53.99
43630,482.364,52.51
43637,469.576,57.43
43644,468.491,58.47
43651,458.992,57.51
43658,455.876,60.21
43665,445.041,55.63
43672,436.545,56.2
43679,438.93,55.66
43686,440.51,54.5
43693,437.778,54.87
43700,427.751,54.17
43707,422.98,55.1
43714,416.068,56.52
43721,417.126,54.85
43728,419.538,58.09
43735,422.642,55.91
43742,425.569,52.81
43749,434.85,54.7
43756,433.151,53.78
43763,438.853,56.66
43770,446.782,56.2
43777,449.001,57.24
43784,450.38,57.72
43791,451.952,57.77
43798,447.096,55.17
43805,447.918,59.2
43812,446.833,60.07
43819,441.359,60.44
43826,429.896,61.72
43833,431.06,63.05
43840,428.511,59.04
43847,428.106,58.54
43854,431.654,54.19
43861,435.009,51.56
43868,442.468,50.32
43875,442.883,52.05
43882,443.335,53.38
43889,444.119,44.76
43896,451.783,41.28
43903,453.737,31.73
43910,455.36,22.43
43917,469.193,21.51
43924,484.37,28.34
43931,503.618,22.76
43938,518.64,18.27
43945,527.631,16.94
43952,532.221,19.78
43959,531.476,24.74
43966,526.494,29.43
43973,534.422,33.25
43980,532.345,35.49
43987,538.065,39.55
43994,539.28,36.26
44001,540.722,39.75
44008,533.527,38.49
44015,539.181,40.65
44022,531.688,40.55
44029,536.58,40.59
44036,525.969,41.29
44043,518.596,40.27
44050,514.084,41.22
44057,512.452,42.01
44064,507.763,42.34
44071,498.401,42.97
44078,500.434,39.77
44085,496.045,37.33
